isim,dogum_yeri,aktif_sehir,arama_sehri,tip,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Project Youth,"İstanbul, İstanbul, Turkey",,İstanbul,grup,3QGkhHw8r8ulzp0OQquRd1,Project Youth,2666.0,3.0,punk,,,
ercüment vural,,,,,7A13SHbyZy9zVYnOkn3qAt,ercüment vural,2666.0,15.0,turkish pop,turkish pop,,
ergin kızılay,,,,,0eFqY7TiJKZhnA5hmeEE0u,Ergin Kızılay,2665.0,25.0,oyun havasi,oyun havasi,,
firat akarsel,,,,,6Te7AdXZqZPUlKo2tukEWu,Firat Akarsel,2656.0,8.0,,,,turkish singer-songwriter
efe okka,,,,,1xIL0FunaGqHbLRPdPXriq,Efe Okka,2654.0,11.0,,,,turkish singer-songwriter
Dilan Polat,"İstanbul, İstanbul, Turkey",,İstanbul,solo,6a5XrJ6MBIioeplSH8rh46,Dilan Polat,2652.0,13.0,,,,
çetin dilsiz,,,,,3xVNtr8NgvJI6VmJ2DoYUs,Çetin Dilsiz,2651.0,23.0,,,,
bülent altınbaş,,,,,0SW035FTAyTd6g9VlSCcIP,Bülent Altınbaş,2643.0,28.0,,,,
meral uğurlu,,,,,7Ivq4L3IDRHGWYapvfBzMA,Meral Uğurlu,2638.0,5.0,,,sanat müziği,
Toprak Özcan,,"İstanbul, İstanbul, Turkey",İstanbul,solo,6Qttj8ZyqPedJRThqdM3VS,Toprak Özcan,2637.0,16.0,,,,
The Nova,"İzmir, İzmir, Turkey",,İzmir,solo,4UDP9ZOfvXvjwg8GslPUFy,The Nova,2635.0,12.0,turkish hip hop,,,
Gökhan Dülek,,"İstanbul, İstanbul, Turkey",İstanbul,solo,2g8vTsEIFd4deJzQwHpsVH,Gökhan Dülek,2632.0,6.0,,,,
